,MultipleLinearRegression,RandomForest_Tuned,GradientBoosting_Tuned,DecisionTree_Tuned,PolynomialRegression,XGBoost_Tuned,Ridge,SVR
AVR_Knudtson_zone_c,0.04628537687263215,0.04739246144343711,0.04700944248550408,0.056110293282729956,0.3784864903261576,0.04705296485459382,0.04539308799221367,0.04731714413983475
Artery_Distance_tortuosity_zone_c,3.203200131609524,3.783710380015514,3.568174434843916,4.838270928902442,26.482248220736448,3.5837929329088793,3.216012992515389,4.023560504507161
Artery_Fractal_dimension_zone_c,0.04629143747254909,0.04739082484595329,0.055782675368431255,0.048286433871875374,0.3728569783058666,0.05648033051582204,0.0537345051730467,0.08114135054451768
Average_width_zone_c,5.029507511062831,5.332329937346447,5.521564627233684,6.078590477818207,38.5952821688808,5.173140501544585,5.206510170903448,7.608221442341973
CRAE_Knudtson_zone_c,13.25412363200572,12.799756246664044,12.568588963270617,15.641948621376915,103.1024858470625,12.345892885746867,12.924636107293278,19.874530134769163
CRVE_Knudtson_zone_c,16.914812561180057,19.31149566949391,18.76028526969771,19.04552936382296,179.16940439079258,19.526962852004473,15.082277064625524,26.256705059644432
Distance_tortuosity_zone_c,1.1972403253570978,1.257938708040414,1.2542770371725966,1.3387930776936243,9.638356773126274,1.2013515247479138,1.1812999884016693,1.5256323231924305
Fractal_dimension_zone_c,0.03927257388425252,0.05874496986386749,0.06101947375370524,0.06767919436018283,0.37439780321318794,0.06234065205689558,0.05866021897563104,0.08556464387608151
Tortuosity_density_zone_c,0.043636272474093116,0.04624304729088729,0.04710155059881755,0.05543740410857937,0.4134119967440018,0.04644527416898302,0.04613145473238218,0.05828751117995479
Vein_Distance_tortuosity_zone_c,2.252927914335552,2.3489664179096144,2.2887250821424705,2.488588460196615,27.682023352756914,2.2803534091810107,2.2429065089269162,2.6751894819651634
Vein_Fractal_dimension_zone_c,0.03981036019816266,0.04946980073030078,0.051725297990003256,0.06397884981800064,0.3570668338247308,0.05610633467835177,0.050066478649033616,0.08038349066396525
Vessel_density_zone_c,0.002372161575716674,0.0024335284851009767,0.0024385679944113007,0.0026760856886215425,0.0232316591460152,0.002396086509193841,0.003911938207634543,0.004477053992887041
