feature,coefficient
Fractal_dimension_zone_c^2 Vessel_density_zone_c,15356.154145565333
Fractal_dimension_zone_c^2 Average_width_zone_c,42.12087588720335
Fractal_dimension_zone_c^2 Distance_tortuosity_zone_c,-643.790180013576
Fractal_dimension_zone_c^2 Tortuosity_density_zone_c,39562.27344658187
Fractal_dimension_zone_c^2 Artery_Fractal_dimension_zone_c,2633.5711954522326
Fractal_dimension_zone_c^2 Artery_Distance_tortuosity_zone_c,58.978648146900944
Fractal_dimension_zone_c^2 Vein_Fractal_dimension_zone_c,27000.932239460755
Fractal_dimension_zone_c^2 Vein_Distance_tortuosity_zone_c,-246.1306423484971
Fractal_dimension_zone_c^2 CRAE_Knudtson_zone_c,21.449785605777436
Fractal_dimension_zone_c^2 CRVE_Knudtson_zone_c,16.148015846696723
Fractal_dimension_zone_c^2 AVR_Knudtson_zone_c,12049.645213234822
Fractal_dimension_zone_c Vessel_density_zone_c^2,1889.2421970452383
Fractal_dimension_zone_c Vessel_density_zone_c Average_width_zone_c,-1245.7238812396724
Fractal_dimension_zone_c Vessel_density_zone_c Distance_tortuosity_zone_c,-21201.884662969427
Fractal_dimension_zone_c Vessel_density_zone_c Tortuosity_density_zone_c,-32627.090845155166
Fractal_dimension_zone_c Vessel_density_zone_c Artery_Fractal_dimension_zone_c,-38185.182195099165
Fractal_dimension_zone_c Vessel_density_zone_c Artery_Distance_tortuosity_zone_c,2429.1452040424642
Fractal_dimension_zone_c Vessel_density_zone_c Vein_Fractal_dimension_zone_c,32424.43133063473
Fractal_dimension_zone_c Vessel_density_zone_c Vein_Distance_tortuosity_zone_c,21510.14965463714
Fractal_dimension_zone_c Vessel_density_zone_c CRAE_Knudtson_zone_c,1321.2582981445678
Fractal_dimension_zone_c Vessel_density_zone_c CRVE_Knudtson_zone_c,-598.5884183101468
Fractal_dimension_zone_c Vessel_density_zone_c AVR_Knudtson_zone_c,14295.796352406078
Fractal_dimension_zone_c Average_width_zone_c^2,-0.5096384297012264
Fractal_dimension_zone_c Average_width_zone_c Distance_tortuosity_zone_c,1.983114138280456
Fractal_dimension_zone_c Average_width_zone_c Tortuosity_density_zone_c,-31.435066989727126
Fractal_dimension_zone_c Average_width_zone_c Artery_Fractal_dimension_zone_c,-240.37536648535124
Fractal_dimension_zone_c Average_width_zone_c Artery_Distance_tortuosity_zone_c,1.3399794729389782
Fractal_dimension_zone_c Average_width_zone_c Vein_Fractal_dimension_zone_c,-41.22836166465623
Fractal_dimension_zone_c Average_width_zone_c Vein_Distance_tortuosity_zone_c,-0.487693529087764
Fractal_dimension_zone_c Average_width_zone_c CRAE_Knudtson_zone_c,-0.6946188499192658
Fractal_dimension_zone_c Average_width_zone_c CRVE_Knudtson_zone_c,0.5280067061939917
Fractal_dimension_zone_c Average_width_zone_c AVR_Knudtson_zone_c,284.59985168953125
Fractal_dimension_zone_c Distance_tortuosity_zone_c^2,21.9029496303633
Fractal_dimension_zone_c Distance_tortuosity_zone_c Tortuosity_density_zone_c,-391.7007799219178
Fractal_dimension_zone_c Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,2009.2676930678817
Fractal_dimension_zone_c Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-2.513961558938142
Fractal_dimension_zone_c Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,531.5385681709664
Fractal_dimension_zone_c Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-9.154745596465958
Fractal_dimension_zone_c Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-23.889812157249366
Fractal_dimension_zone_c Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,15.419509084144352
Fractal_dimension_zone_c Distance_tortuosity_zone_c AVR_Knudtson_zone_c,7968.869780249685
Fractal_dimension_zone_c Tortuosity_density_zone_c^2,12499.777062200308
Fractal_dimension_zone_c Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,-38155.89496327815
Fractal_dimension_zone_c Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,147.29731458747816
Fractal_dimension_zone_c Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,-16815.895712240563
Fractal_dimension_zone_c Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,524.3610215651566
Fractal_dimension_zone_c Tortuosity_density_zone_c CRAE_Knudtson_zone_c,93.8693806042365
Fractal_dimension_zone_c Tortuosity_density_zone_c CRVE_Knudtson_zone_c,-76.05140782124467
Fractal_dimension_zone_c Tortuosity_density_zone_c AVR_Knudtson_zone_c,-46700.25277254353
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c^2,-1526.269922055916
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-169.7100194322335
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-43547.1401363753
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-505.9398149599308
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-169.74895963567673
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,136.07770952392565
Fractal_dimension_zone_c Artery_Fractal_dimension_zone_c AVR_Knudtson_zone_c,38722.842759198174
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c^2,2.0686158655034887
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-133.9483643076745
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,1.1250129668257784
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,1.2676359896291842
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-0.5886427340547016
Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-505.8223031000411
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c^2,-6336.592483266984
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-75.52020292118418
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,-140.78920916409942
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,14.153689624152932
Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c AVR_Knudtson_zone_c,18933.868662578807
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c^2,3.8791958437912513
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,9.58187222393019
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,-7.044393002032962
Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c AVR_Knudtson_zone_c,-2865.6824912725706
Fractal_dimension_zone_c CRAE_Knudtson_zone_c^2,-0.5494643522324623
Fractal_dimension_zone_c CRAE_Knudtson_zone_c CRVE_Knudtson_zone_c,0.714648449534252
Fractal_dimension_zone_c CRAE_Knudtson_zone_c AVR_Knudtson_zone_c,281.55152366389643
Fractal_dimension_zone_c CRVE_Knudtson_zone_c^2,-0.15317968183080666
Fractal_dimension_zone_c CRVE_Knudtson_zone_c AVR_Knudtson_zone_c,-20.614314949773934
Fractal_dimension_zone_c AVR_Knudtson_zone_c^2,-39061.11344020621
Vessel_density_zone_c^3,-154.7144524444963
Vessel_density_zone_c^2 Average_width_zone_c,4782.370266694524
Vessel_density_zone_c^2 Distance_tortuosity_zone_c,102667.87243925175
Vessel_density_zone_c^2 Tortuosity_density_zone_c,-702.236579541444
Vessel_density_zone_c^2 Artery_Fractal_dimension_zone_c,1904.8013680421063
Vessel_density_zone_c^2 Artery_Distance_tortuosity_zone_c,15757.643561368757
Vessel_density_zone_c^2 Vein_Fractal_dimension_zone_c,2587.839780965696
Vessel_density_zone_c^2 Vein_Distance_tortuosity_zone_c,-49686.20763010817
Vessel_density_zone_c^2 CRAE_Knudtson_zone_c,-1588.3956420295442
Vessel_density_zone_c^2 CRVE_Knudtson_zone_c,-1328.6073055080406
Vessel_density_zone_c^2 AVR_Knudtson_zone_c,2917.8956014408977
Vessel_density_zone_c Average_width_zone_c^2,-0.07265543100498917
Vessel_density_zone_c Average_width_zone_c Distance_tortuosity_zone_c,7.262552225459027
Vessel_density_zone_c Average_width_zone_c Tortuosity_density_zone_c,1735.8076765833143
Vessel_density_zone_c Average_width_zone_c Artery_Fractal_dimension_zone_c,1074.4455976299434
Vessel_density_zone_c Average_width_zone_c Artery_Distance_tortuosity_zone_c,2.9226182304918353
Vessel_density_zone_c Average_width_zone_c Vein_Fractal_dimension_zone_c,-11.746035568270957
Vessel_density_zone_c Average_width_zone_c Vein_Distance_tortuosity_zone_c,20.12589810129972
Vessel_density_zone_c Average_width_zone_c CRAE_Knudtson_zone_c,-16.957010156749448
Vessel_density_zone_c Average_width_zone_c CRVE_Knudtson_zone_c,8.218994543251824
Vessel_density_zone_c Average_width_zone_c AVR_Knudtson_zone_c,4079.216569132321
Vessel_density_zone_c Distance_tortuosity_zone_c^2,365.7717698388748
Vessel_density_zone_c Distance_tortuosity_zone_c Tortuosity_density_zone_c,-11526.841764293049
Vessel_density_zone_c Distance_tortuosity_zone_c Artery_Fractal_dimension_zone_c,11891.241620583805
Vessel_density_zone_c Distance_tortuosity_zone_c Artery_Distance_tortuosity_zone_c,-110.48692826015467
Vessel_density_zone_c Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,10632.253233161991
Vessel_density_zone_c Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,-137.02986330536632
Vessel_density_zone_c Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-125.28996187184136
Vessel_density_zone_c Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,58.20929782948252
Vessel_density_zone_c Distance_tortuosity_zone_c AVR_Knudtson_zone_c,26194.553005606875
Vessel_density_zone_c Tortuosity_density_zone_c^2,27103.3232315795
Vessel_density_zone_c Tortuosity_density_zone_c Artery_Fractal_dimension_zone_c,-15048.146309006015
Vessel_density_zone_c Tortuosity_density_zone_c Artery_Distance_tortuosity_zone_c,1920.8591486243513
Vessel_density_zone_c Tortuosity_density_zone_c Vein_Fractal_dimension_zone_c,-33808.419853878455
Vessel_density_zone_c Tortuosity_density_zone_c Vein_Distance_tortuosity_zone_c,-1627.9493945008203
Vessel_density_zone_c Tortuosity_density_zone_c CRAE_Knudtson_zone_c,-258.4691522539978
Vessel_density_zone_c Tortuosity_density_zone_c CRVE_Knudtson_zone_c,-34.20677598182477
Vessel_density_zone_c Tortuosity_density_zone_c AVR_Knudtson_zone_c,4074.6258100535083
Vessel_density_zone_c Artery_Fractal_dimension_zone_c^2,-65178.63171790872
Vessel_density_zone_c Artery_Fractal_dimension_zone_c Artery_Distance_tortuosity_zone_c,-5545.136137061
Vessel_density_zone_c Artery_Fractal_dimension_zone_c Vein_Fractal_dimension_zone_c,-2948.6812992972523
Vessel_density_zone_c Artery_Fractal_dimension_zone_c Vein_Distance_tortuosity_zone_c,-13062.625221712207
Vessel_density_zone_c Artery_Fractal_dimension_zone_c CRAE_Knudtson_zone_c,65.24872900103162
Vessel_density_zone_c Artery_Fractal_dimension_zone_c CRVE_Knudtson_zone_c,525.715843249746
Vessel_density_zone_c Artery_Fractal_dimension_zone_c AVR_Knudtson_zone_c,-12484.62974730106
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c^2,-37.741458071673144
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c Vein_Fractal_dimension_zone_c,-126.83651974562011
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c Vein_Distance_tortuosity_zone_c,79.81355378816608
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c CRAE_Knudtson_zone_c,-52.54546543276072
Vessel_density_zone_c Artery_Distance_tortuosity_zone_c CRVE_Knudtson_zone_c,23.29314508876891
