,MultipleLinearRegression,Ridge,SVR,PolynomialRegression,DecisionTree_Tuned,RandomForest_Tuned,GradientBoosting_Tuned,XGBoost_Tuned
AVR_Knudtson_zone_c,0.043250687289568206,0.043573093858046044,0.04843709580841766,0.2065066915844319,0.05335964547006584,0.046045039829803645,0.04760311800860865,0.04460206808909886
Artery_Distance_tortuosity_zone_c,2.744632810594483,2.756781935759703,3.7220389711137214,12.048817319047876,2.9860989306100256,2.786476555799692,2.7224066308665917,2.6947969944936356
Artery_Fractal_dimension_zone_c,0.03363963948945243,0.03751156935140687,0.04867029459314065,0.10990976045127696,0.03691560405225414,0.03377551656869855,0.0342049889632446,0.03420985236675523
Average_width_zone_c,5.685626325218995,5.657571908219765,8.21050234307716,15.528309139305268,6.264333373314456,5.831455142789974,5.985662996907447,5.750232729365628
CRAE_Knudtson_zone_c,11.721640126619096,11.793837685412075,21.54276049783375,36.213588856770556,14.608541227388695,13.271452641891528,12.621573568523123,12.3194278885123
CRVE_Knudtson_zone_c,15.289916633123104,14.989286470307256,31.384801448740106,79.67960349205534,17.844958023484764,16.85018811326224,18.459571726997346,17.4612116343361
Distance_tortuosity_zone_c,1.0961304490716728,1.0802794195702752,1.3448565435899664,4.012676088505991,1.2442521687573087,1.140359490082358,1.0949220046050017,1.1166789764769327
Fractal_dimension_zone_c,0.02924147639549585,0.03093171636841281,0.04178209326398469,0.10137906570850932,0.032226572562462856,0.03020525231828657,0.029971263557162203,0.029392994382578943
Tortuosity_density_zone_c,0.04212945306223124,0.04610345908953915,0.05845511449986666,0.1736065170606264,0.04458682336664948,0.04451873089439106,0.04473923925015085,0.044534015917995974
Vein_Distance_tortuosity_zone_c,2.5014037421646873,2.4900496271215635,2.9575377670208494,8.477875685471613,2.5175938055898124,2.4751485397072486,2.457678911288342,2.482509633620082
Vein_Fractal_dimension_zone_c,0.03131086740332523,0.03338834169772553,0.042892997008255135,0.1251854398001573,0.03401595077951465,0.03239352010313076,0.03250940525787718,0.03191438691941519
Vessel_density_zone_c,0.0019603591551674866,0.0027941270196352275,0.004385502262354121,0.010842968673524038,0.002472892195843838,0.00210879614301462,0.002039362485868803,0.002003863561879174
